,track_id,id,name,followers,genres,popularity,extract_date
125,6GKDisdWYI2TbK18F4zC11,0hBYSjDjcAaAuSZcpN8jk9,JP THE WAVY,166140,"['j-rap', 'japanese trap']",58,2023-03-27
128,6HA1gscdMuFFyvtpIlpNr7,74g0xdNndEjFzMKSRFUMNM,Lonnie Johnson,27585,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']",30,2023-03-27
130,6WneainaytyKYXAgHyKTz4,6MF58APd3YV72Ln2eVg710,Felix Mendelssohn,469773,"['classical', 'early romantic era', 'german romanticism']",64,2023-03-27
131,6WneainaytyKYXAgHyKTz4,3H65pWTCUa1pcpNVq8HNuk,Haruma Sato,560,[],32,2023-03-27
132,6WneainaytyKYXAgHyKTz4,4F682tC1bLChNJpYReJL78,久末 航,8,[],16,2023-03-27
136,6dlf6u9PIl6NVn8Q8dXLeA,2p0UyoPfYfI76PCStuXfOP,Franz Schubert,992239,"['classical', 'classical era', 'early romantic era']",66,2023-03-27
137,6dlf6u9PIl6NVn8Q8dXLeA,3aLcAwBJiL3ynHWWt0FnP0,Andrè Schuen,819,['art song'],20,2023-03-27
138,6dlf6u9PIl6NVn8Q8dXLeA,6nVQW0e4LsHTKvmelk75fc,Daniel Heide,176,[],22,2023-03-27
142,6kmgfGOdH6pjiEXUG1Gg6N,1y4HuOPsPuo8bBIzk5CXsV,Joyce Cheng,73012,['cantopop'],48,2023-03-27
144,72sihXI4EcZjbbnoo2yyHQ,5s2RlLSGQMDvvQcv3dYtAB,Sass Jordan,25845,['classic canadian rock'],32,2023-03-27
146,7d1pCR3vIbNiKcCr1sjVbE,3rCwi62vIXjO26qeTbDtKp,Amira Karin,460,[],20,2023-03-27
148,7g9zIRbdPvfiPrDOlL3RFP,6hT6jq5757GgRKLuPi2g4h,Taiyoh,1643,['j-rap'],37,2023-03-27
149,7g9zIRbdPvfiPrDOlL3RFP,4Rd7uX3gR54NvnI8Xmkes4,Gottz,15278,"['j-rap', 'japanese trap']",49,2023-03-27
152,7lVexLyckzOX9JA5cpit2q,5rE2HaYrmTza8MPBzzujzw,Miyah,3506,[],17,2023-03-27
153,7lVexLyckzOX9JA5cpit2q,5kfMU816qY0ujqEt3xIHqR,DT.Bilardo,24400,['cumbia 420'],62,2023-03-27
156,7ndfRbddrNhOyIn8OY5V2L,7vUVBbfIykXkc668JoZI5P,吳林峰,8828,"['cantopop', 'hk-pop', 'hong kong indie']",43,2023-03-27
158,0Fwj48PEm0yBdlrBtBzr9s,2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,4759120,"['classical', 'classical era', 'early romantic era', 'german romanticism']",73,2023-03-27
159,0Fwj48PEm0yBdlrBtBzr9s,7aYm3WwTfGcibcsqRJ4OpE,Lindsay String Quartet,1531,['string quartet'],19,2023-03-27
160,0Fwj48PEm0yBdlrBtBzr9s,1DjsT0SK40JPkZhn1mKTek,Louise Williams,44,['uk funky'],11,2023-03-27
