,track_id,id,name,followers,genres,popularity,extract_date
206,30XnkHIARv4lRe4tIbi4AY,6B3ZWSop1mrJd71rwFozVP,Nils Landgren,43731,"['contemporary vocal jazz', 'jazz pop', 'swedish jazz', 'vocal jazz']",52,2023-04-03
210,34OTrVKZbPuSIy7uDASKVQ,4ejqWoCUdomzmXtgNJvXbl,Zöelle,451,[],28,2023-04-03
212,35qqONLfWcE34sjgEM8UhG,3AmgGrYHXqgbmZ2yKoIVzO,Warpaint,467452,"['alternative dance', 'art pop', 'chamber psych', 'chillwave', 'dream pop', 'electronica', 'indie rock', 'la indie', 'modern alternative rock', 'modern dream pop', 'modern rock', 'new rave']",51,2023-04-03
214,39CPeGjg70L1qtXzdJmKmU,6kQLrF8BwbKymqwvCJJzLb,Monica Borrfors,684,[],24,2023-04-03
216,3B2lC0tHokLJuPOhKaLycU,6drAKOLWO1vzBrdmJmg5SE,Outline In Color,69573,"['melodic metalcore', 'metalcore', 'post-screamo', 'screamo', 'trancecore']",43,2023-04-03
217,3B2lC0tHokLJuPOhKaLycU,3YMpkFfYLXaD8eZlQalBHC,Foxera,5276,[],30,2023-04-03
218,3B2lC0tHokLJuPOhKaLycU,1p4l2x4EUENGm1VCQfBkuu,Michael Swank,137,[],28,2023-04-03
222,3BnnWKoUg5BKIflQJ7dyAz,1NyY8eTT2Djl9p3LfBW8zg,Floyd Lee & His Mean Blues Band,98,[],25,2023-04-03
224,3Bz6wUPhyOB95dUZwHgnAD,0XHM5ZNJDU8e4CfbWMeSzC,Roo Panes,205099,"['british singer-songwriter', 'indie folk', 'indiecoustica', 'new americana', 'stomp and holler']",57,2023-04-03
226,3CGuLclpNF2xFTOoONWmQX,7gXy60xRcwYujBFoYHnR2O,Big Red Machine,144252,"['eau claire indie', 'folktronica', 'indie folk', 'indie pop', 'indie rock']",56,2023-04-03
227,3CGuLclpNF2xFTOoONWmQX,7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,62235,"['indie folk', 'new americana']",62,2023-04-03
230,3FUx3pa4NXmlVJQzBHRRx7,0JvUFDnuWPbuyRa6ptVkLk,Marcell,511936,"['indonesian jazz', 'indonesian pop', 'jazz pop']",56,2023-04-03
232,3GAm9dFMgdI4gbrC4yw6oL,4XKp9GFAQfsh2NflSRnHQi,Shi Shi,135491,"['mandopop', 'taiwan pop']",57,2023-04-03
234,3KMeqdGzrtxXGa5oRwZFGQ,6KMFhD0SFLgUNoQJGxf37V,Laura Benanti,12554,"['broadway', 'show tunes', 'vintage broadway']",35,2023-04-03
236,3LAyqdaChqG2Vb32qQgE0l,4xyi7Ld8qxkIpRlh4dAnpu,Tai Chi,9518,"['c-pop', 'cantopop', 'classic cantopop']",32,2023-04-03
237,3LAyqdaChqG2Vb32qQgE0l,5ElXLkDzZPQA9fBzBjA9TJ,David Ling Jr,139,[],46,2023-04-03
240,3ObCX2lb4FlM1Rn9WUppst,282UIRNs6aprjrs0ynDn6v,Los De Adentro,322619,"['colombian rock', 'latin alternative', 'latin rock', 'rock en espanol']",46,2023-04-03
242,3OcFT2KkQ8xWEPl1mFyvTZ,2GtFIN8b3SolBC7mmCPAAA,Gabe Watkins,1268,[],30,2023-04-03
244,3QQm4dYQqEOiUtYy8nI4SA,2xk7nS3YI8mmzrgtPHD5yW,邰智源,172,[],24,2023-04-03
245,3QQm4dYQqEOiUtYy8nI4SA,2JBUyLiFvpFPWdZGqIGYLD,Crowd Lu,401615,"['chinese indie', 'mandopop', 'taiwan indie', 'taiwan pop', 'taiwan singer-songwriter']",57,2023-04-03
249,3TewUoxPgSIvXOT0IgPf1i,447RvE0QN6IQgxWbllfL2g,Geniuz F the FUTURE,3429,['hong kong hip hop'],31,2023-04-03
252,3UekZOLmo7XP1zofrdAltA,5wEF5my54dE5vMMmSUz2q3,Glimlip,13081,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",58,2023-04-03
253,3UekZOLmo7XP1zofrdAltA,2F5B5YgPDinjL9x35lkkke,Søren Søstrom,1139,[],54,2023-04-03
254,3UekZOLmo7XP1zofrdAltA,42gnrsSSKKNNmfAJ0o3oyN,Soul Food Horns,7996,"['chillhop', 'lo-fi jazzhop']",54,2023-04-03
255,3UekZOLmo7XP1zofrdAltA,2E14TlP0N4RU8X3Y2i2Pq3,Slug,961,[],45,2023-04-03
260,3UioODQhZ9cpHcchbWazFq,0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,1482835,"['acoustic rock', 'permanent wave', 'rock']",64,2023-04-03
262,3UjzLbZtsC7CT3Rhvj8faq,62s5q1tm3UAcRnbGY9CCI9,Provoker,29629,['dark synthpop'],49,2023-04-03
263,3UjzLbZtsC7CT3Rhvj8faq,3XxNRirzbjfLdDli06zMaB,Eyedress,1162650,['noise pop'],74,2023-04-03
266,3WBsWNtL054HCFz7UUGK9e,3hVxqR4x3D6PaJWHICzhpt,Umer Farooq,73216,"['indian indie', 'indian singer-songwriter']",35,2023-04-03
268,3WkXG6nOdK7yTqUNr3UPNK,4alN93MNQVX5AZ19q1nvI8,張鎬哲,17558,"['c-pop', 'classic mandopop']",33,2023-04-03
270,3ZgxVUl8xoSBb4XThOZ4HL,1bPBx2qbpWzEoLujeHC3G7,Upon A Burning Body,225889,"['deathcore', 'melodic metalcore', 'metalcore', 'texas metal']",51,2023-04-03
272,3aBawHB7qLLxfC7Taph74U,1TTfuOdEtj8lin2zR4OWmP,Flock of Dimes,24854,['baltimore indie'],40,2023-04-03
273,3aBawHB7qLLxfC7Taph74U,39vA9YljbnOApXKniLWBZv,Sylvan Esso,527688,"['electropop', 'etherpop', 'indie pop', 'indie rock']",59,2023-04-03
276,3aa9lEOjZOn2Om2vdMCR1E,2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,766415,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",56,2023-04-03
277,3aa9lEOjZOn2Om2vdMCR1E,30TrHDLNCKQVTYWOn9QqOC,Beth Hart,356339,['modern blues'],52,2023-04-03
280,3bQEe78SKsthvH116E12YJ,5mtFvnvImn9y9m8MaVxTZ8,Musicmusicmusic,1512,['swedish jazz'],31,2023-04-03
281,3bQEe78SKsthvH116E12YJ,7fl8Q1ZxnrShvSPkISUZoU,Fabian Kallerdahl,189,[],32,2023-04-03
282,3bQEe78SKsthvH116E12YJ,0kYl58y2IiOpSbieJ31Oja,Michael Edlund,7,[],24,2023-04-03
283,3bQEe78SKsthvH116E12YJ,5Wc1iOuZi2XsaM1ppRsAaN,Josef Kallerdahl,70,[],26,2023-04-03
288,3g3TnWFkqfkMaQHSPrQNsM,4v6XOdonnfpdTKTRJArG7v,Tink,871549,"['chicago rap', 'drill', 'pop r&b', 'r&b', 'rap', 'trap queen', 'viral rap']",63,2023-04-03
289,3g3TnWFkqfkMaQHSPrQNsM,0YWxKQj2Go9CGHCp77UOyy,Fabolous,2524077,"['dance pop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']",68,2023-04-03
292,3jYmQk6u6naf6aCZKXp8L4,21mKp7DqtSNHhCAU2ugvUw,ODESZA,1467947,['chillwave'],72,2023-04-03
293,3jYmQk6u6naf6aCZKXp8L4,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1264088,"['alt z', 'electropop', 'pop']",71,2023-04-03
296,3nt2gUt7V9Z01aAljXZip2,7GtNzyMUm0JLoKs8XrxqCB,Jacob Roved Quintet,65,[],23,2023-04-03
297,3nt2gUt7V9Z01aAljXZip2,4NuB9MixMoBdiyfcifI9A7,Jacob Roved,27,[],24,2023-04-03
300,3vYhiBnAnCGL26yDB1QDQG,3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,1112798,"['classical', 'late romantic era', 'russian romanticism']",70,2023-04-03
301,3vYhiBnAnCGL26yDB1QDQG,2RNqh4BiqEfr33OzVilDXC,Emil Tchakarov,75,[],30,2023-04-03
302,3vYhiBnAnCGL26yDB1QDQG,6ABbnVBXuFZ6Yn2LBZzC6O,Sofia Festival Orchestra,154,[],26,2023-04-03
306,3xQXq8FXZcVFU45QwWuOEP,0yW0kiRsK5MYhgICpQhbaG,Ed Carlsen,9479,"['compositional ambient', 'neo-classical']",39,2023-04-03
308,3xpDMF75INs6FQFMa7F4Ef,7IyBMp52r2T01C39t27vrE,Maskatesta,180996,"['latin alternative', 'latin rock', 'latin ska', 'mexican rock', 'rock en espanol', 'ska mexicano']",44,2023-04-03
310,3zQwLgmWd0CDRIKZXq9WsW,5nJed4T0G1U9dZlF5W9Otb,INNX,135,[],24,2023-04-03
