customer_id,verified_purchase
10247535,1
1024754,0
10247655,0
10247736,1
10249385,1
10250766,1
10251422,0
10251465,1
10251533,0
10251567,1
10251643,1
10251889,0
10251970,1
10252236,0
10252890,1
10253260,1
10253595,1
1025492,1
10256056,1
1025741,1
1025742,1
10258553,1
10259853,1
10260293,1
10260466,1
10260832,1
10260890,0
10261101,0
10261156,1
10261298,1
10261670,1
10261696,1
10261808,1
1026235,1
10262350,1
10262371,1
10262855,1
10263359,1
10263619,1
10264021,1
10264056,0
10264385,2
10264459,1
10264630,1
10264857,1
10265056,1
10266141,1
10266628,1
10267246,1
10267482,1
10268444,1
10270335,1
10271044,1
10271285,1
10271386,0
10272828,1
10273143,1
10273710,1
10274230,0
10274496,0
10275025,1
10275832,1
10275847,1
10276405,0
10277149,0
10280742,1
10280768,1
10280870,1
1028114,1
10281449,1
10282245,1
10282806,1
10283654,0
10283662,0
10284418,1
10284590,1
10285488,0
10285934,1
10286342,1
10286356,1
10286573,1
10287340,1
10287513,1
10287774,0
10290108,2
10290753,1
10291181,1
10293087,1
10293112,1
10293469,1
10294143,1
10294930,1
10295382,1
10296326,1
10296398,1
10297349,1
10298138,1
10298499,1
10299708,1
10299724,1
10299766,1
10300443,1
10300574,1
10301717,1
10301883,1
10302324,0
1030257,1
10302700,1
10303000,1
10303030,1
10305826,1
10306696,1
10307026,1
10307472,1
10308386,0
10309507,0
10309778,1
10310838,1
10311774,1
10312037,0
10314355,1
10314866,0
10314992,1
10315577,1
10316319,1
10317256,1
10318348,1
10318384,1
10318824,1
10319261,1
10320334,1
10320349,1
1032104,1
10321161,0
10321251,0
10321723,1
10322022,0
10322336,0
10322608,1
10322786,1
10322847,1
10323074,1
10323391,0
10323591,1
10324178,0
10324373,1
10324727,2
10324747,1
10325436,1
10325607,1
10325898,1
10326202,1
10326224,1
10326619,1
10326850,1
10327151,1
10327161,1
10329687,1
10331226,1
10331788,1
10332264,2
10332615,1
10333246,1
10333405,1
1033350,0
10333767,0
10334629,1
10334650,0
10334842,1
10335419,0
10335527,1
10335726,1
10335775,1
10335987,0
10336922,1
10339020,1
10339032,1
10339246,1
10339462,1
1034000,1
10340523,1
1034069,0
10341144,0
10341237,1
10342750,1
10343186,1
10343649,1
10344373,1
10344538,1
10345078,1
10345346,1
10345375,1
10345856,0
10346039,0
10347447,1
10347456,1
10347695,1
10347874,1
10348002,1
10349262,0
10349513,1
10350379,0
10350528,1
10351084,0
10351440,1
10351646,0
10351704,1
10351942,1
10352138,1
10352785,1
10352931,1
10353580,1
10353942,0
10354576,1
10354597,1
10354937,1
10355514,1
10355719,1
10355837,1
10356047,1
10356162,1
10356561,0
10356702,0
1035708,1
10357322,1
10358329,1
10359112,1
1035915,1
10359730,1
10360484,1
10361212,0
10362395,1
10362891,1
10363278,1
10363283,0
10363292,1
10363658,1
1036496,0
10365556,0
10365817,1
10366317,1
10366820,1
10367026,1
10367138,1
1036728,1
10368487,1
10368544,1
10368790,1
10368999,0
10369296,0
10370304,0
10370583,1
10370925,1
10370976,1
10371220,1
10371560,1
10371650,1
10371851,1
10372485,1
10373195,1
10373607,1
1037483,1
10374952,1
10375179,1
10375202,1
10375274,0
10375431,1
10375631,1
10376185,1
10376233,1
10376852,1
10378645,0
10379070,0
10379702,1
10380028,1
10380105,1
10380536,1
10380738,1
10381001,1
10381296,1
1038339,1
10384613,1
10385059,0
10385516,1
10385600,1
10386489,0
10386949,1
10386966,1
103872,1
10387749,1
10387862,1
10388809,1
10389161,2
10389483,0
10389583,1
10389696,1
10391244,1
10392458,1
10393165,1
10393351,0
10393716,1
10393813,0
10393977,0
10394188,1
10394997,1
10395142,1
10395268,0
1039627,1
10396308,1
10396424,1
10396652,1
1039689,1
10397893,0
10398139,1
10398342,1
10398512,1
10398686,0
10401162,1
10401192,1
10401957,1
10403192,1
10403264,1
10403530,1
10403597,1
10404325,1
10405242,1
10405733,1
10405738,1
1040609,0
10406578,1
10407571,0
10407625,0
10407733,0
10407860,0
10408353,1
10408465,1
10408650,1
10409056,1
10409413,1
10409541,1
10409714,0
10410058,1
10410160,1
10410178,1
10411142,1
10412397,1
10412994,0
10413104,0
10413184,1
10413246,1
10413362,1
10413766,1
10413908,1
10414417,1
10414993,1
10415183,1
10416324,1
10416364,1
10417305,1
10417349,1
10418271,1
10418963,1
10419194,1
10419196,1
1041920,0
10420342,1
10420433,1
10420741,1
10422131,1
10422135,1
1042224,1
10423475,1
10425046,0
10425633,1
10426114,0
10426416,1
10426906,1
10427218,1
10427332,0
10428225,1
10429108,0
10429872,0
10429875,1
10429893,1
10429981,0
10430034,1
10430546,1
10430798,1
10430800,1
10431185,1
10431293,0
10432020,1
10432077,1
10432200,1
10433042,1
10433333,0
10433570,1
10435149,1
10435182,1
10435552,1
10437713,1
10438377,1
10438975,0
10439044,1
10439982,0
10440436,0
10441194,1
1044170,1
