,track_id,id,name,followers,genres,popularity,extract_date
118,3zCg6CUmhxHukbUs0nd7ar,6OxjXk1y4QXXRUJyldFIIG,Kid Frost,73706,"['chicano rap', 'gangster rap', 'latin hip hop']",42,2023-03-29
120,41xtyz0EfrOu80fqIg0GDv,0WoCJqLme8Jz2NrGXXdwNL,God Øne,989,[],39,2023-03-29
121,41xtyz0EfrOu80fqIg0GDv,6iQuZJoGAkn0UZcayx5fTl,1majin,2177,[],40,2023-03-29
124,499Em55SsNJE2jG4Lk58iO,1iNqsUDUraNWrj00bqssQG,Dreamville,511191,"['hip hop', 'rap']",74,2023-03-29
125,499Em55SsNJE2jG4Lk58iO,3QTDHixorJelOLxoxcjqGx,SiR,812595,"['alternative r&b', 'hip hop', 'indie soul', 'la pop', 'neo soul', 'r&b', 'rap']",66,2023-03-29
126,499Em55SsNJE2jG4Lk58iO,3jk39CGeaaSO3FPKNx1RUx,Syd,528697,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'lgbtq+ hip hop', 'r&b']",67,2023-03-29
130,49ykaqGBrhQ6FSriy2ZBaF,3FfbgiZhcCkoiI7IzOwXlI,Ben Abraham,32573,['indie anthem-folk'],49,2023-03-29
132,4GSjFSK1SM78wPTVbsSB0S,3hE8S8ohRErocpkY7uJW4a,Within Temptation,1140018,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'power metal', 'symphonic metal']",64,2023-03-29
133,4GSjFSK1SM78wPTVbsSB0S,3a0Ol9AaugGXjf1ZQcAs1U,Jacoby Shaddix,5944,[],54,2023-03-29
136,4Ky0M6BP4lKfw7lyJabZxi,0MqXw0plXKIaJtM342hIag,Layto,82698,"['alt z', 'bass trap', 'modern alternative rock']",58,2023-03-29
138,4QTV3dLUyYu5vFPEFvA1jg,1FqG6mhiJbhbMg43ohCT6D,Bert Jansch,75298,"['british folk', 'country rock', 'folk', 'folk rock']",44,2023-03-29
140,4au81WOeFQWUQvHh7WCGz2,6cjSmkVvMvyE6tCAo1M9Is,Zhané,298492,"['contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",53,2023-03-29
142,4hQB5oBSXXncJnZACjgeVg,51ZhiTtynrHq7tD4xfGZV7,moon tang,16681,['hong kong indie'],49,2023-03-29
143,4hQB5oBSXXncJnZACjgeVg,0bBrsS9ufPAmeFQgDNG54O,cehryl,29534,['bedroom soul'],46,2023-03-29
