,id,name,available_markets,total_tracks,genres,popularity
109,5QcyFFfTjCqvhVUO9Dl8pf,De Fiesta,184,7,[],60
110,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
111,2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),171,19,[],80
112,3cQO7jp5S9qLBoIVtbkSM1,Blurryface,170,14,[],84
113,22lEQJ7khtB2yvsq84FDQb,Motivan2,112,18,[],68
114,79td5wJW8V4nVgnCUEKWbJ,Fuerte,183,12,[],54
115,5BS55Mthq5I0pN5N0mHaIM,Dame la Mano,184,13,[],35
116,7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe),0,19,[],0
117,3cz9fxBXppuImbufikGk2D,#Tocoparavos,184,11,[],51
118,3FkNfMOBf4yMZJJEOwGcb4,Sigue Y Sigue,184,10,[],40
119,6efrJuQzniYmb1SAuaKjTO,De Pies A Cabeza,184,1,[],47
120,45J24eNEQUEY3GNo44xgkw,De Bailadeta,184,10,[],52
121,2d464MIul4qQIaFijUFtiL,Ella,184,1,[],20
122,3pEgGUv379EDinvg1TN7Kt,This Is What You Came For,184,1,[],76
123,2UfhDAFGBeNbKW6X2NKFcY,Andas En Mi Cabeza (Remix),0,1,[],0
124,3nxlM2DFwij3JVP55yNRya,Layers,0,12,[],0
125,5utAZ2gLHaRWCTAzbG5e0t,Lo Mejor De Lo Mejor,0,15,[],58
126,45J24eNEQUEY3GNo44xgkw,De Bailadeta,184,10,[],52
127,7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe),0,19,[],0
128,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
129,65dQyyraJad9RCxPm0Hk8C,Un Beso,184,1,[],39
130,3oeLFcOpYbiDTjJ4UNfEjD,Libre,0,11,[],0
131,5pmzAkyir6lTI7V0dYx7WD,Love and Sex,0,16,[],0
132,70gYI7nc9EVjuw0vHfpewM,Trumpets (Remixes),2,12,[],2
133,2ucmNNr2Y9ZI7fP4oAMdIj,Sola (Remix),184,1,[],70
134,3J8W9AOjQhnBLCX33m3atT,Heathens,184,1,[],73
135,5yJ7OyeVVRyCd5jtsLsooN,Cuarteteando,184,10,[],56
136,62AITKgUMplmKKSTsTlDDo,Dale,0,12,[],0
137,7FDBvwfZD9ejQzzg0dyoac,The Mack,0,1,[],0
