,id,name,popularity,explicit,available_markets
275,3IkWmgGsXbsafrunwPojXO,From Now On,67,1,184
276,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",68,0,171
277,2nUJvBO87SkxCViQsLc9Zr,Man's Not Hot,0,1,0
278,7krbSH3rd8lhIZvuzTV3Bl,Naked,68,1,183
279,6HZILIRieu8S0iqY8kIKhj,DNA.,77,0,184
280,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),74,0,171
281,7bUcBztfGqO7cSI2gMZeCI,Opps (with Yugen Blakrok),53,0,179
282,57p8CBvPOxrvyCbn6ttl5r,Would You Ever,57,1,184
283,38yBBH2jacvDxrznF7h08J,Slow Hands,0,1,0
284,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),63,1,182
285,2tPcTFiQF9MbVUyjZ3zDhA,Paramedic!,62,0,179
286,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",74,0,177
287,4PpuH4mxL0rD35mOWaLoKS,Lemon,58,0,184
288,7LpFbKbjfB2vuKx59Lgtdq,We Are... (feat. MØ),37,0,184
289,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,71,1,179
290,0VgkVdmE4gld66l8iyGjgx,Mask Off,79,0,172
291,7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),79,0,184
292,3kGfazcbVvVkuZunzlLgTD,Came Here for Love,59,1,184
293,0lvXfUug5YmOHOyHgXufqF,Fake Magic,48,1,184
294,7F3uo3304R2CTvOseU3H7u,Whatever It Takes,0,1,0
295,6M0IsaUX4GNyto4niSegfI,No Option,64,0,184
296,4v094LQ9eF10k2O2Te2ngK,Too Much To Ask,0,0,0
297,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),0,1,0
298,0V1UrYfF9QmRwtpULzXQgw,Regular Touch,0,1,0
299,4pYZLpX23Vx8rwDpJCpPTA,New Freezer (feat. Kendrick Lamar),0,0,0
300,22nyEAEM29tcBRhukR089b,Icon,67,0,184
301,0I20rLT2MJDhcF96AjbNYo,Stay,49,1,1
302,0jdny0dhgjUwoIp5GkqEaA,Praying,66,1,172
303,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),64,0,161
304,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,63,1,179
305,62zG6kMMH353g1yu9Y1EIC,Confidence,30,1,184
306,3OnOomd79OjqSYHchCQ6ht,Notice Me,65,0,183
307,6lOWoTqVnAWXchddtTH31W,Leave a Light On,68,1,184
308,5muvgRZXDU9DBmKcOolqkw,Corleone,9,0,0
309,2hIY4sjfMeKwXXh2LvhrMo,Was du Liebe nennst,57,1,184
310,7y5chiQbuvviOYUfUmOPqo,Primo,22,0,0
311,6X0pg9AHaLYLq8Cy5j8Suz,Qa bone,12,0,0
312,2axf5shPhjS8qdaGr5MWaS,Gotham City,13,0,0
313,5hqelGWfhBo8On7e7Kk5HD,Magisch,41,0,182
314,7hvxMYq9JW5W0vFwiu1Zdr,Dreamer,0,1,0
315,0tW4YbVJ0z6CeQjYBFd09V,Sag Nix,7,0,0
316,3H8n2CHfv2tV1UYsIO0OwG,Balenciaga,3,0,0
317,66bsUCJWoy09bpuljIXumf,Ti amo,0,1,0
318,0FJeo3KAJ5on89PXmo3FiG,Beverly Hills,4,0,0
319,2NF8A7C6tICScdRaZ0BrEe,Katchi - Ofenbach vs. Nick Waterhouse,59,1,184
320,0OI7AFifLSoGzpb8bdBLLV,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",69,1,184
321,71bBFbfn2OBK5QwUJSLS44,More Than You Know,3,1,0
322,3KfgsB1luDK9XHJ8e4Hx6h,¿ Was hast du gedacht ?,0,0,0
323,53SnCRcGrB2UCqNGyYZhJD,More Than Friends,58,1,184
324,2NWZiXyRdKEolP8QrjBGmp,Andere Liga,19,0,0
325,1uGERQ2DVv7j9WSsWzOHVp,Kontrollieren,17,0,0
326,4vOVlcGbOLDYlYIpZkU6VU,Airmax gegen Kopf,54,0,4
327,4k5ripwnTRXiOzXUEGhXSz,Leiser,0,1,0
328,27CUvggbN4O6ASZEsExeAi,Waffen,15,0,0
329,2mhwX8vAz2l3i2wlrG8Av1,Columbo,50,1,184
330,4lRuHiE5knmoHcMaNhW0me,"Chabos wissen wer der Babo ist (feat. Nimo, Luciano, Soufian, Eno) - Young Babos Remix",44,1,179
331,6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,62,1,184
332,18B8O0dI8RANa7Kx9vyemO,Kleiner Cabrón,0,0,0
333,6ULQ6ZRc7JuVutRMy6gfgc,Feel Good,50,1,184
334,6BpW3ZmHrfbFaiPrwuMjPk,Mama ist nicht stolz,0,0,0
335,5OHOykHs3Ct2pgbqod8uMD,Senorita,49,1,185
336,2rv1aetlu3MEQ5sJWJuMG1,Kogong,41,0,184
337,1VfSu8qtTf5PMi3d8XVZGj,Bon Voyage,21,0,0
338,3BORnh3lPd7UbhdFh9Bcsf,Réseaux - K¡K¡ Remix,0,0,0
339,5yFSF6qQA1rcLsQRnBsZgb,All Falls Down (feat. Juliander),60,1,184
340,4v4ZuW2tjSyyci2BcE5bTp,Olé Olé,50,0,184
341,2Yd6pgx0BUrvTuNZK4FzKx,Love Me Like,0,1,0
342,3bMNtFiYXbG8cQy65AvKPf,Ketten Cartier,1,0,0
343,6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),0,0,0
344,2i3WO0WkrlnrA1I4GdUmxh,I Believe I'm Fine,45,1,184
345,0mG6upCcUF0Qvq08FnjRDZ,Bros,0,1,0
346,3soOPBuMK8YMdWnV7xpEyf,Mad Love,52,1,181
347,2vIZ2BKgzCFPF2qqUXVS3R,9 Milly,4,0,0
