,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1614,0.81,0.373,1,-11.433,1,0.186,0.00193,0.0,0.124,0.652,77.511,audio_features,5YRx4ojURDCMneLvDUp60W,spotify:track:5YRx4ojURDCMneLvDUp60W,https://api.spotify.com/v1/tracks/5YRx4ojURDCMneLvDUp60W,https://api.spotify.com/v1/audio-analysis/5YRx4ojURDCMneLvDUp60W,181238,4
1615,0.606,0.915,10,-3.292,0,0.166,0.259,0.107,0.105,0.551,100.433,audio_features,2lrRWbiHPdBicufAqrGN3r,spotify:track:2lrRWbiHPdBicufAqrGN3r,https://api.spotify.com/v1/tracks/2lrRWbiHPdBicufAqrGN3r,https://api.spotify.com/v1/audio-analysis/2lrRWbiHPdBicufAqrGN3r,232547,4
1616,0.465,0.948,5,-6.413,1,0.0383,0.289,0.045,0.325,0.454,132.821,audio_features,2cJIkJvAFAwLueEk5GA59P,spotify:track:2cJIkJvAFAwLueEk5GA59P,https://api.spotify.com/v1/tracks/2cJIkJvAFAwLueEk5GA59P,https://api.spotify.com/v1/audio-analysis/2cJIkJvAFAwLueEk5GA59P,197210,4
1617,0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542,audio_features,5MjAFPcmrR1DYCgZrXCN4d,spotify:track:5MjAFPcmrR1DYCgZrXCN4d,https://api.spotify.com/v1/tracks/5MjAFPcmrR1DYCgZrXCN4d,https://api.spotify.com/v1/audio-analysis/5MjAFPcmrR1DYCgZrXCN4d,269173,4
1618,0.702,0.633,7,-14.151,1,0.0657,0.784,0.934,0.0875,0.479,110.013,audio_features,6OuN4NTyA3vAjaJEwCsGcm,spotify:track:6OuN4NTyA3vAjaJEwCsGcm,https://api.spotify.com/v1/tracks/6OuN4NTyA3vAjaJEwCsGcm,https://api.spotify.com/v1/audio-analysis/6OuN4NTyA3vAjaJEwCsGcm,340000,4
1619,0.518,0.77,8,-5.816,1,0.0609,0.00716,2.39e-05,0.516,0.487,173.874,audio_features,40kOSylZ11g9Go7ZDXKyS9,spotify:track:40kOSylZ11g9Go7ZDXKyS9,https://api.spotify.com/v1/tracks/40kOSylZ11g9Go7ZDXKyS9,https://api.spotify.com/v1/audio-analysis/40kOSylZ11g9Go7ZDXKyS9,235992,4
1620,0.274,0.832,0,-6.773,1,0.0608,0.000216,3.95e-05,0.111,0.315,143.812,audio_features,6U7bI6l84byBbsOAoEmTLL,spotify:track:6U7bI6l84byBbsOAoEmTLL,https://api.spotify.com/v1/tracks/6U7bI6l84byBbsOAoEmTLL,https://api.spotify.com/v1/audio-analysis/6U7bI6l84byBbsOAoEmTLL,216360,4
1621,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,audio_features,56NkIxSZZiMpFP5ZNSxtnT,spotify:track:56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/tracks/56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/audio-analysis/56NkIxSZZiMpFP5ZNSxtnT,183391,4
1622,0.432,0.563,8,-13.219,1,0.0491,0.786,0.000247,0.134,0.597,94.671,audio_features,2RPNwpCcxVBhwhNUrJIiyG,spotify:track:2RPNwpCcxVBhwhNUrJIiyG,https://api.spotify.com/v1/tracks/2RPNwpCcxVBhwhNUrJIiyG,https://api.spotify.com/v1/audio-analysis/2RPNwpCcxVBhwhNUrJIiyG,231533,4
1623,0.558,0.914,6,-3.395,0,0.0996,0.000191,0.0,0.132,0.711,94.975,audio_features,1XT0cpl9g0GuRQJao2nqXd,spotify:track:1XT0cpl9g0GuRQJao2nqXd,https://api.spotify.com/v1/tracks/1XT0cpl9g0GuRQJao2nqXd,https://api.spotify.com/v1/audio-analysis/1XT0cpl9g0GuRQJao2nqXd,252200,4
