year,AudioFeature,year,AudioFeature,average value
1970,time_signature,1970,time_signature,3.84
1970,valence,1970,valence,0.574382
1971,acousticness,1971,acousticness,0.4312429846153846
1971,danceability,1971,danceability,0.518976923076923
1971,duration_ms,1971,duration_ms,256921.8230769231
1971,energy,1971,energy,0.5296361538461536
1971,instrumentalness,1971,instrumentalness,0.1095577158461538
1971,key,1971,key,4.923076923076923
1971,liveness,1971,liveness,0.19643384615384615
1971,loudness,1971,loudness,-11.528223076923078
1971,mode,1971,mode,0.7384615384615385
1971,speechiness,1971,speechiness,0.05181923076923077
1971,tempo,1971,tempo,122.90303846153847
1971,time_signature,1971,time_signature,3.8461538461538463
1971,valence,1971,valence,0.5890315384615381
1972,acousticness,1972,acousticness,0.49252991452991446
1972,danceability,1972,danceability,0.5385102564102565
1972,duration_ms,1972,duration_ms,234892.8205128205
1972,energy,1972,energy,0.5270811965811967
1972,instrumentalness,1972,instrumentalness,0.165200660940171
1972,key,1972,key,5.128205128205129
1972,liveness,1972,liveness,0.21446239316239313
1972,loudness,1972,loudness,-11.045495726495727
1972,mode,1972,mode,0.7521367521367521
1972,speechiness,1972,speechiness,0.05348803418803415
1972,tempo,1972,tempo,121.49239316239326
1972,time_signature,1972,time_signature,3.8119658119658117
1972,valence,1972,valence,0.6056589743589744
1973,acousticness,1973,acousticness,0.37337921739130425
1973,danceability,1973,danceability,0.5064000000000001
1973,duration_ms,1973,duration_ms,255956.26086956522
1973,energy,1973,energy,0.5501730434782608
1973,instrumentalness,1973,instrumentalness,0.12893492217391309
1973,key,1973,key,4.939130434782609
1973,liveness,1973,liveness,0.18762521739130436
1973,loudness,1973,loudness,-11.022686956521738
1973,mode,1973,mode,0.7739130434782608
1973,speechiness,1973,speechiness,0.0567521739130435
1973,tempo,1973,tempo,117.27571304347822
1973,time_signature,1973,time_signature,3.8521739130434782
1973,valence,1973,valence,0.591115652173913
1974,acousticness,1974,acousticness,0.4539370000000001
1974,danceability,1974,danceability,0.5094624999999999
1974,duration_ms,1974,duration_ms,272770.4875
1974,energy,1974,energy,0.512027875
1974,instrumentalness,1974,instrumentalness,0.209987222125
1974,key,1974,key,5.9
1974,liveness,1974,liveness,0.17589500000000005
1974,loudness,1974,loudness,-12.18615
1974,mode,1974,mode,0.675
1974,speechiness,1974,speechiness,0.05404749999999999
1974,tempo,1974,tempo,116.69657500000001
1974,time_signature,1974,time_signature,3.85
1974,valence,1974,valence,0.5694049999999998
1975,acousticness,1975,acousticness,0.43129764227642287
1975,danceability,1975,danceability,0.5104544715447156
1975,duration_ms,1975,duration_ms,272722.30894308945
1975,energy,1975,energy,0.5327232520325202
1975,instrumentalness,1975,instrumentalness,0.1417884118699187
1975,key,1975,key,5.276422764227642
1975,liveness,1975,liveness,0.16257479674796751
1975,loudness,1975,loudness,-11.555983739837394
1975,mode,1975,mode,0.7398373983739838
